ID,MQ1,MQ2,MQ3,MQ4,Total score,,,,,ID,FQ1,FQ2,FQ3,FQ4,Total score
129,4,4,4,3,15,,,,,129,4,4,4,4,16
130,4,4,5,4,17,,,,,130,4,4,5,4,17
131,4,5,5,5,19,,,,,131,4,3,5,3,15
132,4,4,5,4,17,,,,,132,4,4,4,4,16
133,3,3,4,4,14,,,,,133,4,4,4,4,16
134,4,4,5,4,17,,,,,134,4,4,4,4,16
135,4,3,5,3,15,,,,,135,3,3,4,3,13
136,3,2,5,5,15,,,,,136,2,1,5,5,13
137,2,2,4,2,10,,,,,137,2,1,4,1,8
138,3,3,3,2,11,,,,,138,3,3,3,2,11
139,4,4,4,4,16,,,,,139,2,3,4,3,12
140,2,2,5,3,12,,,,,140,1,2,4,2,9
141,4,3,5,4,16,,,,,141,2,3,4,3,12
142,3,2,5,3,13,,,,,142,3,3,5,4,15
143,4,4,4,4,16,,,,,143,5,5,5,5,20
144,4,5,5,5,19,,,,,144,5,5,5,5,20
145,2,2,5,3,12,,,,,145,2,2,4,3,11
146,4,4,5,4,17,,,,,146,4,3,5,4,16
147,4,5,4,4,17,,,,,147,3,3,4,3,13
148,4,4,5,4,17,,,,,148,3,2,4,3,12
149,4,3,4,4,15,,,,,149,2,3,4,3,12
150,4,4,4,3,15,,,,,150,2,3,4,2,11
154,3,3,5,3,14,,,,,154,2,1,5,2,10
155,3,3,4,4,14,,,,,155,3,3,3,3,12
156,4,4,5,4,17,,,,,156,4,4,5,4,17
157,2,2,4,3,11,,,,,157,2,2,2,2,8
158,3,4,4,4,15,,,,,158,3,4,4,4,15
159,4,4,5,5,18,,,,,159,3,3,4,3,13
160,3,4,5,4,16,,,,,160,2,2,5,3,12
161,4,4,5,4,17,,,,,161,4,4,3,3,14
162,4,2,5,4,15,,,,,162,3,3,5,4,15
163,3,4,4,4,15,,,,,163,3,3,4,3,13
164,4,4,5,5,18,,,,,164,3,3,5,5,16
,,,,,,,,,,,,,,,
Vi,0.6342911877,0.6342911877,0.6342911877,0.6342911877,,,,,,Vi,0.8009578544,0.8009578544,0.8009578544,0.8009578544,
sum Vi,2.537164751,,,,,,,,,sum Vi,3.203831418,,,,
Vtotal,6.306704981,,,,,,,,,Vtotal,8.129118774,,,,
k,4,,,,,,,,,k,4,,,,
alpha,0.7969381246,,,,,,,,,alpha,0.8078427676,,,,
